"Item Type","Product ID","Product Name","Product Type","Product Code/SKU","Bin Picking Number","Brand Name","Option Set","Option Set Align","Product Description",Price,"Cost Price","Retail Price","Sale Price","Fixed Shipping Cost","Free Shipping","Product Warranty","Product Weight","Product Width","Product Height","Product Depth","Allow Purchases?","Product Visible?","Product Availability","Track Inventory","Current Stock Level","Low Stock Level",Category,"Product Image ID - 1","Product Image File - 1","Product Image Description - 1","Product Image Is Thumbnail - 1","Product Image Sort - 1","Product Image ID - 2","Product Image File - 2","Product Image Description - 2","Product Image Is Thumbnail - 2","Product Image Sort - 2","Search Keywords","Page Title","Meta Keywords","Meta Description","Product Condition","Show Product Condition?","Sort Order","Product Tax Class","Product UPC/EAN","Stop Processing Rules","Product URL","Redirect Old URL?","GPS Global Trade Item Number","GPS Manufacturer Part Number","GPS Gender","GPS Age Group","GPS Color","GPS Size","GPS Material","GPS Pattern","GPS Item Group ID","GPS Category","GPS Enabled","Tax Provider Tax Code","Product Custom Fields"
Product,112,"Aashirvaad atta whole wheat flour 20lb",P,841905080007,,,,Right,"<p><b>PRODUCT HIGHLIGHTS</b></p> <p>Aashirvaad Atta, whole wheat flour - 20lb</p>",12.99,0.00,0.00,0.00,0.0000,N,,320.0000,0.0000,0.0000,0.0000,Y,Y,"In stock","by product",6,2,"Shop All;Groceries/Flour",376,f/107/Aashirvaad_whole_wheat_flour__53222.jpg,"Aashirvaad atta whole wheat flour 20lb",Y,0,,,,,,"Aashirvaad,whole wheat flour,wheat flour","Aashirvaad atta whole wheat flour 20lb",,,New,Y,0,"Default Tax Class",,N,/aashirvaad-atta-whole-wheat-flour-20lb/,,,,,,,,,,,,N,,
Product,113,"Nanak desi ghee 400g",P,797677300105,,,,Right,"<p>Ghee<span>&nbsp;is made fresh and it is better than cooking oil. Use it in your favorite dishes and taste the difference.</span></p>",9.49,0.00,0.00,0.00,0.0000,N,,400.0000,0.0000,0.0000,0.0000,Y,Y,,"by product",31,1,"Shop All;Diary",377,n/535/nanak__63292.jpg,"Nanak desi ghee 400g",Y,0,,,,,,"Nanak desi ghee ,desi ghee, ghee","Nanak desi ghee 400g",,,New,N,0,"Default Tax Class",,N,/nanak-desi-ghee/,,,,,,,,,,,,N,,
Product,114,"Idhayam sesame oil 1L",P,8904001800237,,,,Right,"<p><span>Sesame is considered to be the oldest oilseed crop known to humanity. Primarily found in parts of Africa, they are also present in some parts of India. Sesame oil is highly nutritious and lubricating in nature. It is enriched with essential vitamins like Vitamin E, B complex, D and minerals like calcium, phosphorus and some proteins that helps in the strengthening of hair. Sesame oil is also used as a carrier oil for many cosmetic products.</span></p>",11.99,0.00,0.00,0.00,0.0000,N,,1.0000,0.0000,0.0000,0.0000,Y,Y,,"by product",14,2,"Shop All;Groceries/Cooking oil",378,e/903/cooking_oil__39835.jpg,"Idhayam sesame oil 1L",Y,0,,,,,,"Idhayam sesame oil, sesame oil, oil","Idhayam sesame oil 1L",,,New,N,0,"Default Tax Class",,N,/idhayam-sesame-oil/,,,,,,,,,,,,N,,
Product,115,"Parle parle-g gluco biscuits",P,723246222868,,,,Right,"<p><span>Filled with the goodness of milk and wheat and it is the source of strenght for body and mind</span></p>",3.49,0.00,0.00,0.00,0.0000,N,,0.0000,0.0000,0.0000,0.0000,Y,Y,,"by product",135,2,"Shop All;Snacks",379,c/638/parle_g_biscuits__76562.jpg,"Parle parle-g gluco biscuits",Y,0,,,,,,"Parle parle-g gluco biscuits, gluco biscuits, biscuit","Parle parle-g gluco biscuits",,,New,N,0,"Default Tax Class",,N,/parle-parle-g-gluco-biscuits/,,,,,,,,,,,,N,,
Product,116,"Haldirams khatta meetha 400g",P,8904063230140,,,,Right,"<p>Haldirams khatta meetha 400g: A sweet &amp; spicy blend of chickpeas flour noodles, Rice flakes, Green Peas &amp; Peanuts</p>",4.79,0.00,0.00,0.00,0.0000,N,,14.1000,0.0000,0.0000,0.0000,Y,Y,,"by product",21,2,"Shop All;Snacks",380,l/033/Haldirams_khatta_meetha_400g__58454.jpg,"Haldirams khatta meetha 400g",Y,0,,,,,,"Snacks, Snack, Haldiram, khatta meetha","Haldirams khatta meetha 400g",,,New,N,0,"Default Tax Class",,N,/haldirams-khatta-meetha-400g/,,,,,,,,,,,,N,,
Product,117,"Surati sev fine",P,068656002298,,,,Right,"<p>Surati sev fine: Snack made from chickpea flour &amp; salt</p>",2.99,0.00,0.00,0.00,0.0000,N,,12.0000,0.0000,0.0000,0.0000,Y,Y,,"by product",15,2,"Shop All;Snacks",381,t/888/Surati_sev_fine__97313.jpg,"Surati sev fine",Y,0,,,,,,"Surati sev fine, sev, surati, snacks","Surati sev fine",,,New,N,0,"Default Tax Class",,N,/surati-sev-fine/,,,,,,,,,,,,N,,
Product,118,"Mcvitie’s Digestives original 400g",P,059290311877,,,,Right,"<p>Mcvitie&rsquo;s Digestives original 400g: The original wheat biscuit</p>",3.99,0.00,0.00,0.00,0.0000,N,,14.1000,0.0000,0.0000,0.0000,Y,Y,,"by product",50,2,"Shop All;Snacks",382,b/225/Mcvities_Digestives_original_400g__42583.jpg,"Mcvitie’s Digestives original 400g",Y,0,,,,,,"Mcvitie’s Digestives original, Mcvitie’s Digestives, Mcvitie’s, Mcvitie","Mcvitie’s Digestives original 400g",,,New,N,0,"Default Tax Class",,N,/mcvities-digestives-original-400g/,,,,,,,,,,,,N,,
Product,119,"Crispy cake rusk 650g",P,627265002152,,,,Right,"<p><span>Cake Rusk is a popular any-time snack that started it all for Crispy.&nbsp; No one has quite been able to match that taste ever since.&nbsp; Though many have wondered:&nbsp; Is it the delicate sweetness of its chewy inner layer or is it the crispy outer crust that&rsquo;s a pleasure to bite into?&nbsp; But most agree that if it is Crispy&rsquo;s Cake Rusk, it is a must have.</span></p>",5.99,0.00,0.00,0.00,0.0000,N,,650.0000,0.0000,0.0000,0.0000,Y,Y,,"by product",20,3,"Shop All;Snacks",383,z/287/rusk__62049.jpg,"Crispy cake rusk 650g",Y,0,,,,,,"Crispy cake rusk ,rusk, cake rusk","Crispy cake rusk 650g",,,New,N,0,"Default Tax Class",,N,/crispy-cake-rusk/,,,,,,,,,,,,N,,
Product,120,"Jiva organic turmeric powder 200g",P,692991704121,,,,Right,"<p>Jiva organic turmeric powder 200g: USDA Organic</p>",2.99,0.00,0.00,0.00,0.0000,N,,7.0500,0.0000,0.0000,0.0000,Y,Y,,"by product",16,2,"Shop All;Groceries/Spices",384,h/247/Jiva_organic_turmeric_powder_200g__89729.jpg,"Jiva organic turmeric powder 200g",Y,0,,,,,,"Jiva organic turmeric powder, Jiva organic, turmeric powder, turmeric , powder","Jiva organic turmeric powder 200g",,,New,N,0,"Default Tax Class",,N,/jiva-organic-turmeric-powder-200g/,,,,,,,,,,,,N,,
Product,121,"Bru instant coffee 200g",P,068400564553,,,,Right,"<p>Bru Instant Coffee<span>&nbsp;is a perfect mix of 70%&nbsp;</span>coffee<span>&nbsp;and 30% chicory. Blend of choicest Arabica and Robusta beans roasted to perfection. New and enhanced processes ensure that the fresh&nbsp;</span>coffee<span>&nbsp;aroma is preserved.</span></p>",6.99,0.00,0.00,0.00,0.0000,N,,200.0000,0.0000,0.0000,0.0000,Y,Y,,"by product",39,3,"Shop All;Groceries/Beverage",385,c/332/bru__62373.jpg,"Bru instant coffee 200g",Y,0,394,l/812/bruuuu__36036.jpg,,N,1,"Bru instant coffee ,instant coffee , coffee","Bru instant coffee 200g",,,New,N,0,"Default Tax Class",,N,/bru-instant-coffee/,,,,,,,,,,,,N,,
